# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
-3.33186 4.48282 0.21239  0.114880 -0.826648 0.550869
-3.38212 4.48282 0.21901  -0.031610 -0.826648 0.561832
-3.43238 4.48282 0.21239  -0.175945 -0.826648 0.534506
-3.47921 4.48282 0.19299  -0.281055 -0.827061 0.486804
-3.51943 4.48282 0.16214  -0.397474 -0.827061 0.397473
-3.55029 4.48282 0.12192  -0.486804 -0.827061 0.281054
-3.56968 4.48282 0.07509  -0.542958 -0.827062 0.145484
-3.57630 4.48282 0.02483  -0.562113 -0.827061 -0.000000
-3.56968 4.48282 -0.02543  -0.542958 -0.827061 -0.145484
-3.55029 4.48282 -0.07226  -0.486804 -0.827061 -0.281054
-3.51943 4.48282 -0.11248  -0.397474 -0.827061 -0.397473
-3.47921 4.48282 -0.14334  -0.281056 -0.827061 -0.486804
-3.43238 4.48282 -0.16274  -0.175945 -0.826648 -0.534506
-3.38212 4.54782 -0.26500  0.018567 -0.826918 -0.562016
-3.30711 4.54782 -0.25512  0.163394 -0.826918 -0.538060
-3.23721 4.54782 -0.22617  0.281056 -0.827061 -0.486804
-3.17718 4.54782 -0.18011  0.397473 -0.827061 -0.397474
-3.13112 4.54782 -0.12008  0.486803 -0.827061 -0.281057
-3.10217 4.54782 -0.05018  0.542959 -0.827061 -0.145484
-3.09230 4.54782 0.02483  0.562113 -0.827061 0.000000
-3.10217 4.54782 0.09984  0.542959 -0.827061 0.145484
-3.13112 4.54782 0.16974  0.486803 -0.827061 0.281057
-3.17718 4.54782 0.22976  0.397473 -0.827061 0.397474
-3.23721 4.54782 0.27582  0.281056 -0.827061 0.486804
-3.30711 4.54782 0.30478  0.163394 -0.826918 0.538060
-3.38212 4.54782 0.31465  0.018567 -0.826918 0.562016
-3.45713 4.54782 0.30478  -0.127526 -0.826918 0.547671
-3.52703 4.54782 0.27582  -0.281056 -0.827061 0.486804
-3.58706 4.54782 0.22976  -0.397474 -0.827061 0.397474
-3.63311 4.54782 0.16974  -0.486804 -0.827061 0.281055
-3.66207 4.54782 0.09984  -0.542958 -0.827062 0.145484
-3.67194 4.54782 0.02483  -0.562112 -0.827061 0.000000
-3.66207 4.54782 -0.05018  -0.542958 -0.827062 -0.145484
-3.63311 4.54782 -0.12008  -0.486804 -0.827061 -0.281055
-3.58706 4.54782 -0.18011  -0.397473 -0.827061 -0.397474
-3.52703 4.54782 -0.22617  -0.281056 -0.827061 -0.486804
-3.45713 4.54782 -0.25512  -0.127526 -0.826918 -0.547671
-3.30711 4.54782 -0.25512  0.132971 0.857934 -0.496254
-3.23721 4.54782 -0.22617  0.187085 0.832430 -0.521594
-3.17718 4.54782 -0.18011  0.376028 0.846879 -0.376029
-3.13112 4.54782 -0.12008  0.403577 0.903016 -0.147270
-3.10217 4.54782 -0.05018  0.369779 0.927786 -0.049769
-3.09230 4.54782 0.02483  0.364092 0.931363 0.000000
-3.10217 4.54782 0.09984  0.375047 0.921543 0.100493
-3.13112 4.54782 0.16974  0.401628 0.903462 0.149835
-3.17718 4.54782 0.22976  0.370648 0.851610 0.370649
-3.23721 4.54782 0.27582  0.174222 0.840395 0.513209
-3.30711 4.54782 0.30478  0.127984 0.869182 0.477643
-3.38212 4.54782 0.31465  0.000000 0.851259 0.524746
-3.45713 4.54782 0.30478  -0.083884 0.818987 0.567648
-3.52703 4.54782 0.27582  -0.265635 0.677042 0.686333
-3.58706 4.54782 0.22976  -0.724114 0.360506 0.587957
-3.63311 4.54782 0.16974  -0.817215 0.464569 0.341078
-3.66207 4.54782 0.09984  -0.800063 0.560306 0.214374
-3.67194 4.54782 0.02483  -0.791155 0.611509 -0.011427
-3.66207 4.54782 -0.05018  -0.775005 0.596863 -0.207660
-3.63311 4.54782 -0.12008  -0.766429 0.542387 -0.344099
-3.58706 4.54782 -0.18011  -0.748455 0.398928 -0.529785
-3.52703 4.54782 -0.22617  -0.292604 0.651790 -0.699680
-3.45713 4.54782 -0.25512  -0.130535 0.780025 -0.611981
-3.38212 4.54782 -0.26500  -0.003021 0.831068 -0.556163
-3.41110 4.63891 -0.12551  0.068869 0.833286 -0.548536
-3.32540 4.63891 -0.12318  0.480498 -0.746724 -0.459919
-3.32551 4.63891 -0.04783  0.388220 0.920748 -0.038847
-3.32530 4.63891 0.09728  0.379411 0.924888 0.025077
-3.32540 4.63891 0.16870  0.270820 0.885559 0.377416
-3.41110 4.63891 0.16689  0.030904 0.841284 0.539709
-3.54306 4.63891 0.16480  -0.065916 0.802696 0.592734
-3.60156 4.63891 0.16689  -0.068048 0.990547 0.119107
-3.60031 4.63891 0.14386  -0.897493 0.322418 0.300920
-3.59896 4.63891 0.09728  -0.815294 0.573091 0.082844
-3.59482 4.63891 -0.03935  -0.794678 0.597921 -0.104772
-3.59617 4.63891 -0.07350  -0.880894 0.369975 -0.295202
-3.59328 4.63891 -0.12137  -0.052338 0.996580 -0.063948
-3.53892 4.63891 -0.12343  -0.123712 0.756432 -0.642266
-3.49805 4.63891 -0.12422  -0.033431 0.823081 -0.566939
-3.81960 4.63477 0.16560  0.007830 -0.977255 0.211924
-3.45665 4.70157 0.13148  0.119627 0.970329 0.210123
-3.81960 4.70157 0.13148  0.000000 0.967206 0.253991
-3.81960 4.63477 -0.12422  0.008895 -0.897094 -0.441750
-3.45665 4.70157 -0.08878  0.091339 0.924105 -0.371062
-3.81960 4.70157 -0.08878  0.000000 0.990295 -0.138984
-3.81960 2.94180 0.17029  0.007830 0.977255 0.211922
-3.32540 2.93765 0.17339  0.270819 -0.885559 0.377414
-3.45665 2.87499 0.13617  0.119626 -0.970329 0.210122
-3.81960 2.87499 0.13617  0.000000 -0.967207 0.253989
-3.81960 2.87499 -0.08409  0.000000 -0.990295 -0.138983
-3.81960 2.94180 -0.11953  0.008895 0.897096 -0.441747
-3.45665 2.87499 -0.08409  0.091338 -0.924106 -0.371060
-3.32540 2.93765 -0.11849  0.480497 0.746725 -0.459917
-3.30711 3.02874 -0.25043  0.132971 -0.857934 -0.496254
-3.38212 3.02874 -0.26030  -0.003021 -0.831068 -0.556163
-3.49805 2.93765 -0.11953  -0.033431 -0.823081 -0.566939
-3.45713 3.02874 -0.25043  -0.130535 -0.780025 -0.611981
-3.53892 2.93765 -0.11874  -0.123712 -0.756432 -0.642266
-3.52703 3.02874 -0.22148  -0.292604 -0.651790 -0.699680
-3.59328 2.93765 -0.11668  -0.052338 -0.996580 -0.063948
-3.58706 3.02874 -0.17542  -0.748455 -0.398928 -0.529785
-3.59617 2.93765 -0.06881  -0.880894 -0.369975 -0.295202
-3.63311 3.02874 -0.11539  -0.766429 -0.542387 -0.344099
-3.59482 2.93765 -0.03466  -0.794678 -0.597921 -0.104772
-3.66207 3.02874 -0.04549  -0.775005 -0.596863 -0.207660
-3.67194 3.02874 0.02952  -0.791155 -0.611509 -0.011427
-3.66207 3.02874 0.10453  -0.800063 -0.560306 0.214374
-3.59896 2.93765 0.10197  -0.815294 -0.573091 0.082844
-3.63311 3.02874 0.17443  -0.817215 -0.464569 0.341078
-3.60031 2.93765 0.14855  -0.897493 -0.322418 0.300920
-3.58706 3.02874 0.23445  -0.724114 -0.360506 0.587957
-3.60156 2.93765 0.17158  -0.068048 -0.990547 0.119107
-3.52703 3.02874 0.28051  -0.265634 -0.677042 0.686333
-3.54306 2.93765 0.16949  -0.065916 -0.802696 0.592734
-3.45713 3.02874 0.30947  -0.083884 -0.818987 0.567648
-3.38212 3.02874 0.31934  0.000000 -0.851259 0.524746
-3.30711 3.02874 0.30947  0.127984 -0.869182 0.477644
-3.41110 2.93765 0.17158  0.030904 -0.841284 0.539709
-3.23721 3.02874 0.28051  0.174222 -0.840395 0.513209
-3.17718 3.02874 0.23445  0.370648 -0.851610 0.370649
