# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created weld
24.55290 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1 0
23.87666 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1 0
23.07746 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1 0
22.98525 0.25316 -76.01254  -0.000002 0.000017 -0.100021  0.100021  0.04 0.00  6  rooms  0.000 1 1 0
22.41659 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.10 0.00  4  rooms  0.000 1 1 0
21.58665 0.25330 -76.01255  -0.000013 0.000160 -0.100021  0.100021  0.10 0.00  5  rooms  0.000 1 1 0
21.52518 0.25316 -76.01254  0.000000 0.000017 -0.100021  0.100021  0.08 0.00  6  rooms  0.000 1 1 0
21.47908 0.25314 -76.01254  0.000002 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
20.11123 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1 0
19.97291 0.25312 -76.01254  0.000002 -0.000017 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1 0
19.48109 0.25312 -76.01255  0.000000 -0.000017 -0.100021  0.100021  0.10 0.00  6  rooms  0.000 1 1 0
17.97492 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
25.41357 0.20793 -75.99431  0.000000 0.000000 -0.081787  0.081787  0.00 0.00  7  rooms  0.000 1 1 0
25.38283 0.20793 -75.97195  0.000000 0.000000 -0.059433  0.059433  0.00 0.00  4  rooms  0.000 1 1 0
25.32135 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  8  rooms  0.000 1 1 0
23.96887 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  9  rooms  0.000 1 1 0
23.87666 0.20793 -75.98578  0.000000 0.000000 -0.073257  0.073257  0.00 0.00  5  rooms  0.000 1 1 0
23.87666 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms  0.000 1 1 0
23.81518 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  7  rooms  0.000 1 1 0
22.47807 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  8  rooms  0.000 1 1 0
22.47807 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms  0.000 1 1 0
22.41659 0.20793 -75.98608  0.000000 0.000000 -0.073555  0.073555  0.00 0.00  7  rooms  0.000 1 1 0
21.00263 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms  0.000 1 1 0
19.28129 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.10 0.00  6  rooms  0.000 1 1 0
20.92579 0.20793 -75.97666  0.000000 0.000000 -0.064140  0.064140  0.00 0.00  8  rooms  0.000 1 1 0
19.48109 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  8  rooms  0.000 1 1 0
19.41962 0.20793 -75.99431  0.000000 0.000000 -0.081787  0.081787  0.00 0.00  7  rooms  0.000 1 1 0
19.32740 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  7  rooms  0.000 1 1 0
17.91344 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1 0
17.90300 0.17281 -75.96264  -0.010445 -0.035128 -0.050110  0.062081  36.19 36.17  6  rooms  0.000 1 1 0
24.78343 0.00727 -73.42453  0.000000 0.007268 0.000000  0.007268  0.00 0.00  4  floor::mirUV  1.000 1 1 0
23.79981 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1 0
23.79981 0.00139 -74.25386  0.000000 0.001386 0.000000  0.001386  0.00 0.00  7  floor::mirUV  1.000 1 1 0
23.79981 0.00844 -72.59521  0.000000 0.008445 0.000000  0.008445  0.00 0.00  6  floor::mirUV  1.000 1 1 0
23.79981 0.00256 -69.27789  0.000000 0.002563 0.000000  0.002563  0.00 0.00  8  floor::mirUV  1.000 1 1 0
23.79981 0.00609 -67.61922  0.000000 0.006092 0.000000  0.006092  0.00 0.00  7  floor::mirUV  1.000 1 1 0
22.81619 -0.00038 -66.78990  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  4  floor::mirUV  1.000 1 1 0
21.83257 0.00374 -72.59521  0.000000 0.003739 0.000000  0.003739  0.00 0.00  7  floor::mirUV  1.000 1 1 0
20.84894 0.00139 -71.76588  0.000000 0.001386 0.000000  0.001386  0.00 0.00  4  floor::mirUV  1.000 1 1 0
21.83257 0.00256 -69.27789  0.000000 0.002563 0.000000  0.002563  0.00 0.00  6  floor::mirUV  1.000 1 1 0
20.84894 -0.00038 -66.78991  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  4  floor::mirUV  1.000 1 1 0
19.86532 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  floor::mirUV  1.000 1 1 0
17.89808 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  9  floor::mirUV  1.000 1 0 0
18.88170 0.01495 -73.42454  0.000000 0.014946 0.000000  0.014946  0.00 0.00  4  floor::mirUV  1.000 1 1 0
18.88170 0.00492 -71.76588  0.000000 0.004915 0.000000  0.004915  0.00 0.00  4  floor::mirUV  1.000 1 1 0
18.88170 0.00746 -70.10722  0.000000 0.007464 0.000000  0.007464  0.00 0.00  4  floor::mirUV  1.000 1 1 0
19.86532 0.01492 -69.27789  0.000000 0.014916 0.000000  0.014916  0.00 0.00  8  floor::mirUV  1.000 1 1 0
18.88170 -0.00038 -66.78991  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  4  floor::mirUV  1.000 1 1 0
17.89808 0.00000 -67.61923  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1 0
29.93208 1.80813 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  9  rooms  0.000 1 1 0
29.74765 1.80813 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  6  rooms  0.000 1 1 0
26.95048 1.80813 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  7  rooms  0.000 1 1 0
33.52846 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
32.94443 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
32.80611 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
32.11450 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
32.03765 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
30.60832 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
30.54685 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
29.93208 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
29.87061 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
29.74765 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
29.02531 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
28.97920 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
28.41054 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  6  rooms  0.000 1 1 0
28.30296 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
27.53450 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
26.85826 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
26.10518 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
25.98222 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  6  rooms  0.000 1 1 0
33.52845 1.68156 -75.98078  0.000000 0.000000 -0.068260  0.068260  0.00 0.00  7  rooms  0.000 1 1 0
33.48235 1.68156 -75.93520  0.000000 0.000000 -0.022675  0.022675  0.00 0.00  5  rooms  0.000 1 1 0
32.03765 1.68156 -75.99784  0.000000 0.000000 -0.085320  0.085320  0.00 0.00  6  rooms  0.000 1 1 0
30.54685 1.68156 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  5  rooms  0.000 1 1 0
27.47303 1.68156 -75.93520  0.000000 0.000000 -0.022675  0.022675  0.00 0.00  4  rooms  0.000 1 1 0
32.03765 0.30738 -75.99784  0.000000 0.000000 -0.085320  0.085320  0.00 0.00  5  rooms  0.000 1 1 0
30.54685 0.30738 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  7  rooms  0.000 1 1 0
29.02531 0.30738 -75.98137  0.000000 0.000000 -0.068848  0.068848  0.00 0.00  8  rooms  0.000 1 1 0
28.97920 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  4  rooms  0.000 1 1 0
27.53450 0.30738 -75.98078  0.000000 0.000000 -0.068260  0.068260  0.00 0.00  5  rooms  0.000 1 1 0
26.04370 0.30738 -75.99784  0.000000 0.000000 -0.085320  0.085320  0.00 0.00  5  rooms  0.000 1 1 0
25.47504 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
33.52845 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
33.48235 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
32.86758 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
32.11450 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
32.03765 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
31.97618 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
31.46899 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
31.42289 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
31.31530 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
30.51611 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
29.88597 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1 0
28.41054 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
26.99659 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
25.98222 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1 0
31.46899 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  10  rooms  0.000 1 1 0
31.42289 0.20793 -75.99431  0.000000 0.000000 -0.081787  0.081787  0.00 0.00  6  rooms  0.000 1 1 0
31.42289 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms  0.000 1 1 0
31.37678 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1 0
31.31530 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  rooms  0.000 1 1 0
31.31530 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  7  rooms  0.000 1 1 0
29.97819 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  9  rooms  0.000 1 1 0
29.97819 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms  0.000 1 1 0
